[INFO] 2024-04-17 12:59:57,328 basehttp: "GET /static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:57,444 basehttp: "GET /static/vendor/adminlte/img/AdminLTELogo.png HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:57,500 basehttp: "GET /static/jazzmin/css/main.css HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:57,532 basehttp: "GET /static/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:57,549 basehttp: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:58,113 basehttp: "GET /static/vendor/adminlte/js/adminlte.min.js HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:58,152 basehttp: "GET /static/jazzmin/js/main.js HTTP/1.1" 200 2391
[INFO] 2024-04-17 12:59:58,162 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13276
[INFO] 2024-04-17 12:59:58,197 basehttp: "GET /static/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
[INFO] 2024-04-17 12:59:59,364 basehttp: "GET /static/favicon.ico HTTP/1.1" 200 2238
[INFO] 2024-04-17 13:00:08,477 basehttp: "GET /admin/users/user/add/ HTTP/1.1" 200 15990
[INFO] 2024-04-17 13:00:08,671 basehttp: "GET /static/vendor/select2/css/select2.min.css HTTP/1.1" 200 16264
[INFO] 2024-04-17 13:00:08,692 basehttp: "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2024-04-17 13:00:08,748 basehttp: "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[INFO] 2024-04-17 13:00:08,769 basehttp: "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2024-04-17 13:00:08,777 basehttp: "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2024-04-17 13:00:08,784 basehttp: "GET /static/admin/js/actions.js HTTP/1.1" 200 8067
[INFO] 2024-04-17 13:00:08,797 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:00:08,861 basehttp: "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[INFO] 2024-04-17 13:00:08,887 basehttp: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9042
[INFO] 2024-04-17 13:00:08,882 basehttp: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2024-04-17 13:00:08,944 basehttp: "GET /static/jazzmin/js/change_form.js HTTP/1.1" 200 6052
[INFO] 2024-04-17 13:00:08,948 basehttp: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[INFO] 2024-04-17 13:00:08,953 basehttp: "GET /static/vendor/select2/js/select2.min.js HTTP/1.1" 200 73170
[INFO] 2024-04-17 13:00:31,055 basehttp: "GET /admin/ HTTP/1.1" 200 15355
[INFO] 2024-04-17 13:02:15,510 basehttp: "GET /admin/users/user/ HTTP/1.1" 200 18393
[INFO] 2024-04-17 13:02:15,815 basehttp: "GET /static/jazzmin/js/change_list.js HTTP/1.1" 200 2252
[INFO] 2024-04-17 13:02:15,829 basehttp: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[INFO] 2024-04-17 13:02:15,893 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:02:19,022 basehttp: "GET /admin/users/groupproxy/ HTTP/1.1" 200 12318
[INFO] 2024-04-17 13:02:19,336 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:02:25,939 basehttp: "GET /admin/users/permissionproxy/ HTTP/1.1" 200 34664
[INFO] 2024-04-17 13:02:26,162 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:04:21,201 basehttp: "GET /admin/users/user/ HTTP/1.1" 200 18393
[INFO] 2024-04-17 13:04:21,511 basehttp: "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2024-04-17 13:04:23,342 basehttp: "GET /admin/users/user/add/ HTTP/1.1" 200 15990
