[INFO] 2024-04-16 09:21:09,603 autoreload: Watching for file changes with StatReloader
[DEBUG] 2024-04-16 09:21:09,605 autoreload: Waiting for apps ready_event.
[DEBUG] 2024-04-16 09:21:09,728 autoreload: Apps ready_event triggered. Sending autoreload_started signal.
[DEBUG] 2024-04-16 09:21:09,744 autoreload: Watching dir /venv/lib/python3.11/site-packages/jazzmin/templates with glob **/*.
[DEBUG] 2024-04-16 09:21:09,745 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_spectacular/templates with glob **/*.
[DEBUG] 2024-04-16 09:21:09,745 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
[DEBUG] 2024-04-16 09:21:09,746 autoreload: Watching dir /app/core/templates with glob **/*.
[DEBUG] 2024-04-16 09:21:09,747 autoreload: Watching dir /app/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,747 autoreload: Watching dir /venv/lib/python3.11/site-packages/modeltranslation/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,748 autoreload: Watching dir /venv/lib/python3.11/site-packages/jazzmin/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,748 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,749 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,749 autoreload: Watching dir /venv/lib/python3.11/site-packages/rest_framework_simplejwt/token_blacklist/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,749 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_spectacular/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,750 autoreload: Watching dir /venv/lib/python3.11/site-packages/drf_standardized_errors/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,750 autoreload: Watching dir /venv/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,751 autoreload: Watching dir /app/core/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,751 autoreload: Watching dir /app/users/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:09,752 autoreload: Watching dir /app/workflow/locale with glob **/*.mo.
[DEBUG] 2024-04-16 09:21:10,023 autoreload: File /venv/lib/python3.11/site-packages/psycopg2/sql.py first seen with mtime 1713121064.915019
[DEBUG] 2024-04-16 09:21:10,024 autoreload: File /venv/lib/python3.11/site-packages/hpack/huffman.py first seen with mtime 1713121064.3849971
[DEBUG] 2024-04-16 09:21:10,024 autoreload: File /venv/lib/python3.11/site-packages/rest_framework/utils/json.py first seen with mtime 1713121067.6844766
[DEBUG] 2024-04-16 09:21:10,025 autoreload: File /venv/lib/python3.11/site-packages/chardet/euctwfreq.py first seen with mtime 1713121064.4750009
