[WARNING] 2024-04-14 18:30:18,968 basehttp: "GET / HTTP/1.1" 404 2763
[WARNING] 2024-04-14 18:30:19,058 basehttp: "GET /favicon.ico HTTP/1.1" 404 2814
[WARNING] 2024-04-14 18:30:23,485 basehttp: "GET /admi HTTP/1.1" 404 2793
[WARNING] 2024-04-14 18:30:25,612 basehttp: "GET /admim HTTP/1.1" 404 2796
[INFO] 2024-04-14 18:30:27,584 basehttp: "GET /admin HTTP/1.1" 301 0
[ERROR] 2024-04-14 18:30:27,710 basehttp: "GET /admin/ HTTP/1.1" 500 194381
[INFO] 2024-04-14 18:31:11,751 basehttp: "GET /admin/ HTTP/1.1" 302 0
[INFO] 2024-04-14 18:31:11,777 basehttp: "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4349
[INFO] 2024-04-14 18:31:11,805 basehttp: "GET /static/admin/css/base.css HTTP/1.1" 200 21544
[INFO] 2024-04-14 18:31:11,816 basehttp: "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2682
[INFO] 2024-04-14 18:31:11,818 basehttp: "GET /static/admin/css/login.css HTTP/1.1" 200 958
[INFO] 2024-04-14 18:31:11,818 basehttp: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
[INFO] 2024-04-14 18:31:11,819 basehttp: "GET /static/admin/css/responsive.css HTTP/1.1" 200 17905
[INFO] 2024-04-14 18:31:11,828 basehttp: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2024-04-14 18:31:11,829 basehttp: "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
[INFO] 2024-04-14 18:31:11,896 basehttp: "GET /static/favicon.ico HTTP/1.1" 200 2238
[INFO] 2024-04-14 18:31:21,135 basehttp: "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[INFO] 2024-04-14 18:31:21,174 basehttp: "GET /admin/ HTTP/1.1" 200 6833
[INFO] 2024-04-14 18:31:21,196 basehttp: "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[INFO] 2024-04-14 18:31:21,248 basehttp: "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2024-04-14 18:31:21,248 basehttp: "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[WARNING] 2024-04-14 18:31:27,649 basehttp: "GET / HTTP/1.1" 404 2763
